case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
strict-random,random,0,117,9001,write,9,weak,13759.6,1048586,1048586,1048584,168,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,10,weak,14829.3,1048587,1048587,1048586,170,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,11,weak,14817.1,1048588,1048588,1048586,170,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,12,weak,13720.3,1048589,1048589,1048588,172,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,13,weak,13706.6,1048590,1048590,1048588,172,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,14,weak,12879.6,1048591,1048591,1048590,174,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,15,weak,12786.3,1048592,1048592,1048590,174,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,16,weak,13773.1,1048593,1048593,1048592,176,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,17,weak,13780.4,1048594,1048594,1048592,176,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,18,weak,13787.8,1048595,1048595,1048594,178,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,19,weak,13888.6,1048596,1048596,1048594,178,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,20,weak,13804.8,1048597,1048597,1048596,180,1,2,0.1,,,,strict-cap-before-fence,,87
